测量序号,通道1值(um),通道2值(um),通道3值(um),计算直径(mm)
145,1271.98,1194.76,1185.93,17.6031
146,1272.02,1194.44,1185.89,17.6033
147,1271.74,1194.18,1185.88,17.6037
148,1271.9,1194.72,1185.77,17.6033
149,1271.67,1194.85,1185.81,17.6033
150,1272.05,1194.44,1186.07,17.6031
151,1271.59,1195.12,1186.02,17.603
152,1272.54,1194.95,1186.21,17.6024
153,1273,1195.19,1186.53,17.6017
154,1273.11,1195.24,1186.85,17.6014
155,1272.56,1195.5,1186.76,17.6016
156,1272.38,1194.9,1186.66,17.6022
157,1271.03,1194.8,1186.47,17.6033
158,1271.89,1194.01,1186.69,17.6031
159,1271.69,1194.83,1186.51,17.6028
160,1272.39,1194.46,1186.42,17.6027
161,1272.15,1194.42,1186.15,17.603
162,1271.63,1194.6,1185.89,17.6034
163,1271.21,1194.11,1185.8,17.6041
164,1270.97,1194.82,1185.95,17.6037
165,1272.05,1194.69,1185.75,17.6032
166,1271.55,1194.28,1185.99,17.6036
167,1271.43,1194.41,1185.9,17.6037
168,1271.66,1194.78,1186.22,17.6031
169,1271.54,1194.22,1186.31,17.6035
170,1271.04,1194.63,1186.33,17.6035
171,1271.2,1194.29,1186.41,17.6036
172,1271.31,1194.29,1186.14,17.6037
173,1271.41,1194.4,1186.23,17.6035
174,1271.16,1194.18,1186.37,17.6037
175,1271.47,1194.64,1186.19,17.6033
176,1271.49,1194.19,1186,17.6037
177,1271.79,1194.85,1186.07,17.603
178,1271.12,1194.33,1186.06,17.6038
179,1271.61,1194.42,1186.06,17.6035
180,1272.31,1194.1,1186.05,17.6032
181,1271.57,1194.89,1186.36,17.603
182,1272.07,1194.93,1186.43,17.6026
183,1272.54,1194.68,1186.77,17.6022
184,1273.1,1195.04,1187.03,17.6014
185,1272.65,1195.63,1187.32,17.6011
186,1272.81,1195.39,1187.13,17.6013
187,1272.46,1195.25,1186.71,17.6019
188,1272.23,1194.85,1186.4,17.6025
189,1272.07,1194.73,1186.3,17.6028
190,1272.27,1195.13,1186.27,17.6024
191,1273.27,1195.53,1186.01,17.6016
192,1272.51,1195.45,1185.74,17.6024
193,1272.87,1195.39,1185.84,17.6021
194,1272.57,1195.33,1185.82,17.6024
195,1272.39,1195.01,1185.7,17.6028
196,1273.02,1195.08,1185.76,17.6023
197,1272.39,1194.96,1186.17,17.6025
198,1272.99,1194.77,1186.43,17.6021
199,1273.53,1195.47,1186.48,17.6012
200,1272.42,1195.55,1186.43,17.6019
201,1272.37,1195.33,1186.42,17.6021
202,1272.38,1195.67,1186.64,17.6017
203,1272.98,1195.58,1186.61,17.6014
204,1273.17,1195.47,1186.52,17.6014
205,1272.96,1195.16,1186.37,17.6019
206,1272.91,1195.06,1186.48,17.6019
207,1272.93,1195.1,1186.17,17.6021
208,1272.71,1195.69,1185.91,17.602
209,1272.27,1194.99,1186.02,17.6027
210,1272.49,1195.01,1186.08,17.6025
211,1272.77,1195.75,1186,17.6018
212,1272.76,1195.38,1185.97,17.6021
213,1272.79,1195.21,1185.85,17.6023
214,1272.55,1194.75,1185.8,17.6028
215,1271.92,1195.11,1185.65,17.6031
216,1272.41,1195.16,1185.95,17.6025
217,1272.12,1194.79,1185.72,17.6031
218,1272.99,1195.34,1185.82,17.6021
219,1272.91,1195.02,1186.17,17.6021
220,1272.64,1195.09,1185.92,17.6024
221,1272.37,1195.33,1186.01,17.6024
222,1272.52,1195.39,1186.11,17.6022
223,1272.43,1195.04,1186.27,17.6024
224,1272.91,1195.21,1186.26,17.6019
225,1272.73,1195.78,1186.28,17.6017
226,1272.75,1195.32,1186.36,17.6019
227,1272.35,1195.2,1186.11,17.6024
228,1272.78,1195.03,1186.11,17.6022
229,1272.3,1195.08,1185.99,17.6026
230,1272.44,1194.97,1185.92,17.6026
231,1271.93,1194.4,1185.92,17.6033
232,1272.93,1195.08,1185.92,17.6022
233,1272.58,1195.16,1186.05,17.6023
234,1272.67,1195.3,1185.91,17.6023
235,1272.22,1195.21,1185.98,17.6026
236,1272.86,1195.02,1185.97,17.6023
237,1272.61,1195.31,1186.09,17.6022
238,1272.17,1195,1185.92,17.6028
239,1272.26,1195.22,1186.04,17.6025
240,1272.48,1195.34,1185.97,17.6023
241,1272.09,1194.9,1185.79,17.603
242,1272.65,1195.05,1185.88,17.6025
243,1272.25,1195.23,1185.8,17.6027
244,1272.58,1194.93,1185.86,17.6026
245,1272.81,1194.99,1185.73,17.6025
246,1271.86,1195.3,1185.88,17.6028
247,1272.87,1195.58,1185.93,17.6019
248,1272.72,1194.93,1185.93,17.6025
249,1272.53,1194.5,1185.61,17.6031
250,1272.76,1194.86,1185.9,17.6025
251,1272.37,1194.91,1185.96,17.6027
252,1272.41,1195.04,1186.07,17.6025
253,1272.51,1195.7,1185.92,17.6021
254,1272.69,1195.33,1186.1,17.6021
255,1272.29,1195.12,1186.04,17.6025
256,1272.73,1195.2,1185.86,17.6023
257,1272.35,1195.19,1185.87,17.6026
258,1272.31,1195.37,1185.86,17.6025
259,1272.57,1195.04,1185.87,17.6025
260,1273.14,1195.31,1185.58,17.6022
261,1272.73,1194.51,1185.9,17.6028
262,1272.6,1194.95,1186,17.6025
263,1272.02,1195.14,1185.84,17.6028
264,1272.26,1194.99,1185.93,17.6027
265,1272.33,1195.01,1186.11,17.6025
266,1272.17,1195.18,1185.91,17.6027
267,1272.74,1195.07,1186.08,17.6023
268,1272.3,1194.71,1186.08,17.6028
269,1272.12,1194.71,1185.83,17.6031
270,1272.6,1195.09,1185.74,17.6026
271,1272.4,1195.05,1185.79,17.6027
272,1273.05,1195.31,1185.86,17.602
273,1272.25,1195.29,1185.68,17.6027
274,1272.59,1194.85,1185.74,17.6027
275,1272.39,1194.84,1185.79,17.6028
276,1272.3,1195.44,1185.8,17.6025
277,1272.29,1194.9,1185.9,17.6028
278,1272.9,1195.06,1185.98,17.6022
279,1272.3,1195.43,1186.16,17.6023
280,1272.91,1194.63,1186,17.6025
281,1272.39,1195.09,1186.02,17.6025
282,1272.49,1194.59,1185.96,17.6028
283,1272.91,1195.4,1185.74,17.6021
284,1272.51,1194.89,1185.66,17.6028
285,1272.3,1194.58,1185.88,17.603
286,1272.6,1195.34,1185.64,17.6025
287,1273,1194.9,1185.56,17.6025
288,1272.55,1195.06,1185.79,17.6026
289,1272.3,1195.09,1185.8,17.6027
290,1272.54,1195.18,1185.83,17.6025
291,1272.47,1195.05,1185.99,17.6025
292,1272.41,1195.38,1186.12,17.6022
293,1272.9,1195.01,1185.98,17.6023
294,1272.8,1195.26,1186.03,17.6021
295,1272.23,1195.67,1185.87,17.6023
296,1272.41,1195.15,1185.87,17.6026
297,1272.92,1195.11,1185.83,17.6023
298,1271.95,1195.18,1185.67,17.603
299,1272.54,1195.17,1185.56,17.6027
300,1273.16,1195.68,1185.71,17.6018
301,1272.65,1194.83,1185.64,17.6028
302,1272.68,1195.21,1185.87,17.6023
303,1272.89,1194.85,1185.65,17.6026
304,1272.57,1195.01,1185.87,17.6026
305,1273.11,1195.25,1185.88,17.602
306,1272.99,1194.91,1185.75,17.6024
307,1272.39,1195.14,1185.94,17.6025
308,1272.44,1195.29,1185.81,17.6025
309,1272.96,1195.44,1185.63,17.6022
310,1272.82,1195.13,1185.47,17.6026
311,1272.85,1194.79,1185.54,17.6027
312,1272.23,1194.7,1185.57,17.6032
313,1272.99,1195.24,1185.59,17.6023
314,1272.56,1194.61,1185.64,17.603
315,1272.68,1194.73,1185.39,17.603
316,1273.05,1195.29,1185.61,17.6022
317,1272.17,1195.36,1185.67,17.6027
318,1272.24,1195.07,1185.72,17.6028
319,1273.04,1194.65,1185.63,17.6026
320,1272.76,1195.19,1185.67,17.6024
321,1272.5,1194.83,1185.9,17.6027
322,1272.02,1194.55,1185.69,17.6033
323,1272.19,1195.1,1185.59,17.6029
324,1272.07,1194.92,1185.66,17.6031
325,1272.1,1195.33,1185.75,17.6027
326,1272.89,1195.63,1185.8,17.602
327,1272.47,1195.34,1185.71,17.6025
328,1272.57,1195.34,1185.83,17.6024
329,1272.33,1195.56,1185.77,17.6024
330,1272.18,1195.18,1185.92,17.6027
331,1272.51,1194.9,1185.93,17.6026
332,1272.74,1195.45,1185.86,17.6022
333,1272.17,1195.67,1185.72,17.6025
334,1272.47,1195.1,1185.86,17.6026
335,1272.68,1195.13,1185.87,17.6024
336,1272.8,1194.69,1185.71,17.6027
337,1272.35,1194.85,1185.85,17.6028
338,1273.13,1194.76,1185.78,17.6024
339,1273.26,1195.37,1185.53,17.6021
340,1272.11,1194.75,1185.82,17.6031
341,1272.68,1195.04,1185.78,17.6025
342,1272.76,1195.46,1185.68,17.6023
343,1272.96,1195.29,1185.83,17.6021
344,1272.16,1194.9,1186,17.6028
345,1273.12,1195.14,1185.91,17.6021
346,1272.79,1195.32,1186.01,17.6021
347,1272.44,1195.01,1186.09,17.6025
348,1272.66,1194.93,1186.12,17.6024
349,1273.18,1195.2,1185.93,17.602
350,1272.09,1195.24,1186.06,17.6026
351,1272.89,1195.14,1185.94,17.6022
352,1272.1,1195.09,1185.73,17.6029
353,1272.84,1194.99,1185.68,17.6025
354,1272.75,1195.01,1185.68,17.6026
355,1272.54,1195.17,1185.68,17.6026
356,1272.64,1194.88,1185.74,17.6027
357,1272.74,1195.07,1185.75,17.6025
358,1272.06,1194.9,1185.93,17.6029
