测量序号,通道1值(um),通道2值(um),通道3值(um),计算直径(mm)
146,1386.03,2004.99,1436.39,17.601
147,1384.94,2005.11,1436.09,17.6019
148,1384.82,2005.08,1436.13,17.6019
149,1385.5,2004.94,1435.58,17.6019
150,1385.36,2004.93,1435.5,17.6021
151,1385.28,2004.85,1436.34,17.6016
152,1385.39,2004.83,1436.13,17.6017
153,1385.15,2004.83,1435.61,17.6022
154,1385.5,2004.86,1435.85,17.6018
155,1385.77,2004.93,1436.02,17.6015
156,1385.48,2004.97,1436.19,17.6015
157,1385.84,2005.06,1436.11,17.6013
158,1385.75,2004.96,1435.58,17.6018
159,1385.32,2004.97,1435.88,17.6018
160,1385.4,2005.04,1436.11,17.6016
161,1385.76,2004.83,1436.05,17.6015
162,1385.99,2004.77,1436.09,17.6014
163,1385.91,2004.91,1436.24,17.6012
164,1385.61,2005.03,1436.26,17.6013
165,1385.77,2004.98,1435.91,17.6015
166,1385.63,2004.86,1435.76,17.6018
167,1385.35,2004.87,1435.68,17.602
168,1385.36,2004.92,1435.69,17.602
169,1385.05,2005,1435.78,17.6021
170,1385.53,2004.94,1436.11,17.6016
171,1385.59,2004.92,1435.95,17.6016
172,1385.57,2005.02,1435.78,17.6017
173,1385.79,2004.9,1435.99,17.6015
174,1385.01,2004.79,1435.88,17.6022
175,1384.9,2005.08,1435.81,17.6021
176,1385.19,2005.22,1436.39,17.6014
177,1385.01,2005.03,1436.15,17.6018
178,1385.57,2004.99,1435.69,17.6018
179,1386.46,2005.05,1435.96,17.601
180,1386.49,2005.02,1436.01,17.6009
181,1386.03,2005.08,1436.19,17.6011
182,1385.92,2005.14,1436.15,17.6011
183,1385.33,2004.96,1435.65,17.602
184,1385.29,2004.84,1435.59,17.6021
185,1385.85,2004.95,1435.91,17.6015
186,1385.63,2005.02,1436.09,17.6015
187,1384.74,2004.96,1436.19,17.602
188,1384.89,2004.95,1436.03,17.602
189,1385.87,2004.9,1435.66,17.6017
190,1385.92,2004.86,1435.55,17.6017
191,1385.97,2004.97,1435.96,17.6014
192,1385.63,2004.99,1435.79,17.6017
193,1385.66,2004.86,1435.75,17.6018
194,1386.02,2004.88,1436.34,17.6011
195,1385.84,2004.9,1436.25,17.6013
196,1385.53,2004.91,1436.43,17.6014
197,1385.39,2005.05,1436.56,17.6013
198,1384.84,2005.01,1436.28,17.6019
199,1384.83,2005.01,1435.9,17.6021
200,1385.47,2004.99,1435.67,17.6019
201,1385.29,2004.89,1435.84,17.6019
202,1385.54,2004.96,1436.34,17.6014
203,1385.85,2004.98,1436.45,17.6011
204,1385.29,2005.03,1436.12,17.6017
205,1385.69,2005.17,1436.39,17.6011
206,1385.78,2005.08,1436.82,17.6008
207,1385.22,2004.99,1436.6,17.6014
208,1385.73,2004.82,1435.92,17.6016
209,1386.05,2004.74,1436.28,17.6012
210,1385.73,2004.93,1436.81,17.601
211,1385.65,2004.87,1436.35,17.6014
212,1385.78,2004.82,1436.49,17.6012
213,1385.63,2004.86,1436.76,17.6011
214,1385.98,2005,1436.25,17.6011
215,1386.24,2004.98,1436.13,17.601
216,1385.35,2004.82,1436.74,17.6013
217,1384.87,2005,1436.94,17.6014
218,1385.38,2005.04,1436.79,17.6011
219,1385.54,2004.98,1436.54,17.6012
220,1385.61,2004.97,1436.28,17.6014
221,1385.58,2005.01,1436.11,17.6015
222,1385.66,2004.93,1436.25,17.6014
223,1385.66,2004.91,1436.39,17.6013
224,1385.48,2005.07,1436.09,17.6015
225,1385.61,2005.13,1436.18,17.6013
226,1385.9,2005.04,1436.21,17.6012
227,1385.95,2004.89,1436.31,17.6012
228,1385.3,2005,1436.52,17.6014
229,1385.11,2005.05,1436.26,17.6017
230,1385.97,2005.01,1436.21,17.6012
231,1386.49,2005.03,1436.55,17.6006
232,1386.11,2005.01,1436.43,17.6009
233,1385.81,2004.88,1435.91,17.6015
234,1386.05,2004.72,1436.07,17.6014
235,1386.46,2004.86,1436.46,17.6007
236,1386.07,2004.91,1436.41,17.601
237,1385.77,2004.85,1436.62,17.6011
238,1386.34,2004.75,1436.62,17.6008
239,1386.41,2004.64,1436.32,17.601
240,1385.73,2004.7,1436.2,17.6015
241,1385.46,2004.96,1437,17.601
242,1386.06,2004.94,1437.35,17.6004
243,1385.96,2004.74,1436.67,17.601
244,1385.86,2004.8,1436.46,17.6012
245,1386.15,2004.67,1436.05,17.6014
246,1385.94,2004.52,1435.92,17.6017
247,1386,2004.75,1436.32,17.6012
248,1385.75,2004.9,1436.35,17.6013
249,1385.3,2004.81,1436.38,17.6016
250,1385.15,2004.98,1436.52,17.6015
251,1385.78,2004.93,1435.97,17.6015
252,1386.43,2004.7,1435.93,17.6012
253,1386.31,2004.56,1436.27,17.6012
254,1386.17,2004.66,1436.23,17.6012
255,1386.14,2004.89,1436.14,17.6012
256,1386.65,2004.91,1436.18,17.6008
257,1386.52,2004.92,1436.63,17.6005
258,1386.07,2005.03,1436.4,17.6009
259,1386.04,2004.91,1436.29,17.6011
260,1386.19,2004.92,1436.47,17.6009
261,1385.81,2004.93,1436.28,17.6013
262,1385.33,2004.79,1435.71,17.6021
263,1385.87,2004.95,1435.86,17.6015
264,1386.06,2004.92,1436.16,17.6012
265,1385.64,2004.74,1435.75,17.6019
266,1385.76,2004.8,1436.12,17.6015
267,1386.37,2004.95,1436.66,17.6006
268,1385.56,2004.9,1436.43,17.6014
269,1385.06,2004.85,1436.23,17.6019
270,1386.02,2004.86,1436.7,17.6009
271,1386.45,2004.84,1436.48,17.6008
272,1385.68,2004.85,1436.16,17.6015
273,1385.12,2004.94,1436.81,17.6014
274,1385.5,2004.84,1436.94,17.6011
275,1385.38,2004.69,1436.31,17.6017
276,1385.67,2004.97,1436.44,17.6012
277,1385.94,2005.16,1436.47,17.6009
278,1386.25,2005.01,1436.14,17.601
279,1386.27,2004.81,1436.11,17.6011
280,1385.84,2004.85,1436.23,17.6013
281,1386.44,2004.93,1436.11,17.601
282,1385.84,2004.8,1436.03,17.6015
283,1385.46,2004.87,1436.3,17.6015
284,1385.78,2004.86,1436.41,17.6012
285,1385.72,2004.82,1436.28,17.6014
286,1386.01,2004.98,1435.98,17.6013
287,1385.77,2005.07,1436.01,17.6014
288,1385.72,2004.93,1436.47,17.6012
289,1386.12,2004.83,1436.8,17.6008
290,1385.96,2004.89,1436.55,17.601
291,1386.13,2004.82,1436.14,17.6012
292,1386.15,2004.8,1436.15,17.6012
293,1385.98,2004.9,1436.35,17.6011
294,1385.97,2004.85,1435.95,17.6014
295,1385.81,2004.89,1435.82,17.6016
296,1385.96,2004.97,1436.22,17.6012
297,1385.84,2004.95,1436.44,17.6011
298,1386.29,2004.77,1436.36,17.601
299,1386.88,2004.74,1436.22,17.6007
300,1386.75,2004.83,1436.46,17.6006
301,1386.15,2004.92,1436.23,17.6011
302,1385.82,2004.98,1435.78,17.6016
303,1386.03,2004.88,1436.2,17.6012
304,1385.88,2004.92,1436,17.6014
305,1385.21,2004.93,1435.88,17.602
306,1385.47,2004.93,1436.38,17.6014
307,1385.92,2005.05,1436.29,17.6011
308,1385.83,2004.93,1436.15,17.6013
309,1386.17,2004.72,1436.12,17.6013
310,1385.64,2004.81,1436.13,17.6016
311,1385.13,2004.85,1436.11,17.6019
312,1385.31,2004.6,1436.2,17.6019
313,1385.64,2004.73,1436.59,17.6013
314,1386.13,2004.94,1436.8,17.6007
315,1386.2,2004.89,1436.75,17.6007
316,1386.52,2004.9,1436.63,17.6006
317,1386.76,2004.89,1435.95,17.6009
318,1387.18,2004.96,1435.85,17.6006
319,1386.41,2004.8,1436.2,17.601
